Context,First Seen,sha256,Cert Issuer,Serial Number,Thumbprint,Valid From,Valid To
FakeBat,2024-08-05 15:10,e9aab10f7244a4efdc8946ae994a1155f21412590ba30b5abc9e5a9a69a8542e,SSL.com Code Signing Intermediate CA RSA R1,04F9E61FE8FCAFD921A56B23AB262A34,7A67E5E2027644FA1F74D40711A124B752FA66A6,2023-10-05 10:18,2024-10-04 10:18
FakeBat,2024-07-03 8:42,42836bce8422d4faa74f52ff3515c73996a7b8f635d8848242988be677e2c556,SSL.com Code Signing Intermediate CA RSA R1,48A839BE7BEB80384479084EE640DC54,44B038A4EFD755EF6B88832D19DFAB2BBBD9237B,2024-05-13 19:37,2025-05-13 19:37
FakeBat,2024-06-29 18:20,a1464bece4aa329bb639d2d3ff6c7d5d4d349289cd477c86c669975db4824443,SSL.com Code Signing Intermediate CA RSA R1,5BEA962268D7A85542AADBA4A9B7FF2D,C4232291AD05DB6C435CD8A727F4DAF0BF6507D4,2024-01-26 4:13,2025-01-25 4:13
FakeBat,2024-06-07 8:45,5d84ec3475fac25a1691b3bc831737b5b3d02454613ccb492de4972432494cf5,SSL.com Code Signing Intermediate CA RSA R1,7BC5EBCE60E231C20CE56703FE461C0C,1B2B17BADBFE11858FD56243105EC9429724B6F6,2023-12-20 17:31,2024-12-19 17:31
FakeBat,2024-06-05 15:01,5f9557f616ab8c007422a7bf034b75548c73d818fdac84f82ef48b7f26662de6,SSL.com Code Signing Intermediate CA RSA R1,6BDB08B7DDB773720764005D7E7DED8B,F65D1315C9B5DABF3BE1CE4F17F5D85E88484013,2024-05-17 12:40,2025-05-17 12:40
FakeBat,2024-06-04 16:27,5660d461a24e9a15ecb60891bd725a464f8d9a5d20d07852838604f58ba8ff77,SSL.com Code Signing Intermediate CA RSA R1,579B9E221C8CC22FCF33CE826CF3737F,0ECBC9F0E2714A5520621C33781A7EC65805B669,2024-05-09 15:49,2025-05-09 15:49
FakeBat,2024-06-04 12:47,6b0f9719d92524c111de00bcd3edc1db9a3cccaaa736d9036a83396ac618571a,SSL.com Code Signing Intermediate CA RSA R1,4D0E13F913C4C8BB5753B53DB46110F0,8AB0BE341C5E80501E70775A5CFD24D945595568,2024-05-01 8:57,2025-05-01 8:57
FakeBat,2024-06-03 20:12,5663eb21e88082bedc1545e21cdb25ad17b44bdeca5ca28c359b191d048efc94,SSL.com Code Signing Intermediate CA RSA R1,22D2367F46F93A3893E608768BB8F79A,5F2F1060CBB416F8DAEA275A2DBB6A8C6877C6F0,2024-05-17 18:00,2025-05-17 18:00
FakeBat,2024-05-28 7:10,356299531dd96ee5a3567a8a303f0104979f355bbabb50c0cddc6aa18f564b07,SSL.com Code Signing Intermediate CA RSA R1,5499FE809B614A77BA2436132C56B91F,7D5E2E3C2D29FC941438187AC34567FE1210968A,2024-05-10 20:38,2025-05-10 20:38
FakeBat,2024-05-26 16:59,647012c5141844a860ba474ef3b239a845170e8c4f5631e8cbdc7781dfe468a2,SSL.com Code Signing Intermediate CA RSA R1,2BBB9B7FE942FB6EA60F86D578A64EAD,3DEFCB7054AD6C39664013ACE33DAF675DEEB9AB,2024-05-12 2:35,2025-05-12 2:35
FakeBat,2024-05-13 4:12,e3ad2367d6e1e15a2f937310c4fa798fc33ef3300dd1c4c00785d914fb5bfb80,Certum Extended Validation Code Signing 2021 CA,22B49BC752F530388C00E5A68FA4A344,B7962BCBF0953078C35FD5D811CF255018EB26BF,2024-04-22 8:18,2025-04-22 8:18
FakeBat,2024-05-12 16:55,b0804a60d9992f6af63e247258fae4715816c19a76341f1cd2245fd1385a66f3,Sectigo Public Code Signing CA R36,5537908F151E7077149B1954A28632B4,00208976D65AF03024D301306F19C74C3F9EDB22,2023-02-15 0:00,2024-02-15 23:59
FakeBat,2024-05-11 18:01,900cc09fcdd78ee16eacc91459abf31c088dc0434907390c7329469129dc917e,SSL.com Code Signing Intermediate CA RSA R1,383BB880E7ACBA2928D2CBC6AB7BBE5C,B00982260BAABDBA964EA131411684DDF43DEB1C,2024-05-03 20:04,2025-05-03 20:04
FakeBat,2024-05-11 2:29,ce33a8aabc0095ee679cb0cbf6e7fb69b50611abfa85533d1daa18d7dcadb2b5,SSL.com Code Signing Intermediate CA RSA R1,5AA4B480B9EDB666AE374175B0D70A82,6056787F07F92C123A775057A9F7EB9C8905E1EA,2024-05-07 20:16,2025-05-07 20:16
FakeBat,2024-05-07 15:37,12001dd924c265a33f33e33f29ed1bdc05aef8dbbabaa234b5695353649c8b4b,SSL.com Code Signing Intermediate CA RSA R1,5B94F53D8844A4FBB20A82957B117588,23C2F06803C6B4301ADACFD87C99D898C0BB463F,2024-04-25 17:55,2025-04-25 17:55
FakeBat,2024-05-07 15:21,d22ef24a4e943d5fb36260ea2e46b046d2d6ce29f725e52167c00bfce0d94bdb,SSL.com Code Signing Intermediate CA RSA R1,54153343A319758492C3771B8717FBFB,7E8865A242D35BAF812A5E39851B4497102CBF09,2024-04-30 21:34,2025-04-30 21:34
FakeBat,2024-05-05 2:10,0c2997d95062a86ef9845f7bfd595d476e578db07def8e89ae26614c78a4e025,SSL.com Code Signing Intermediate CA RSA R1,4CFE79222ADA3FEA60BA98EFBE6E44A5,A5540F1A24B23406A5B7B98357FFEFCB3B269F44,2024-05-03 17:52,2025-05-03 17:52
FakeBat,2024-05-01 0:09,c1b0fe35669f425304e005f5839440356276cc20eb1cd6ceb8d0b5e6b1f96f7f,SSL.com Code Signing Intermediate CA RSA R1,24F1C528ACBA226708DC92F692431A2C,BC442B6500814DBC2BA2120C33409D303189AB82,2024-04-26 19:54,2025-04-26 19:54
FakeBat,2024-04-30 15:59,2020038974f763287b465795b52cba40e6ed533e8d1b67e690a2c88248e99d34,GlobalSign GCC R45 EV CodeSigning CA 2020,38042383FA6B3AF5B6B1821F,CDFA577CE2EC5E0117967D8F65566030B96349A1,2024-04-22 13:20,2025-04-23 13:20
FakeBat,2024-11-08 18:51,aed717381cc8b42276cbbf2d702be4395cebcbecb3b823b3f7ac98dd92bf68dc,SSL.com Code Signing Intermediate CA RSA R1,0B3C5F51042466CBB5A00EE692614668,72BBB1470BDD449901E2A2FD109337B21756C45B,2024-06-01 15:08,2025-06-01 15:08
FakeBat,2024-04-24 14:02,bbc1dd5ce5d7079b77927b72918810e5effe54cdeab042c848b0b20624119f75,SSL.com Code Signing Intermediate CA RSA R1,4BE22CD193252962EB5F342E7C5F533F,124C66197CBC4DE925E6CC86240F0CD3B74D2F4D,2023-12-20 18:48,2024-12-19 18:48
FakeBat,2024-04-23 13:26,68b904897bf6a9124c75dec50fc8cb292069491357785f05f667f91096736960,Certum Extended Validation Code Signing 2021 CA,0B4003DD1778E77C7B3230A4962E5558,2FE6D426B391CC9DE6CB57EB9C9E9AC0B61CE857,2023-09-13 5:31,2024-09-12 5:31
FakeBat,2024-04-16 17:43,eb986a5ea4c7068fadcecc429c133fd501215d422448f95c9b7b1cf158b2f8a6,SSL.com Code Signing Intermediate CA RSA R1,08D1567946272BF2CF666885FAB99E03,44A3056EE75B31799D9C74B1956AA3038FA63785,2023-12-20 17:39,2024-12-19 17:39
FakeBat,2024-04-11 14:35,ad6bcffb161cb9fb0eca2905ca8c4c0365aa4febab6f47acabcbf8b4b75d478c,SSL.com Code Signing Intermediate CA RSA R1,754F9989D8A8E889539B29BF502FA74B,57AC3537F14B3059FA016FEAA5825FE72704AF2B,2023-12-14 22:52,2024-12-12 22:52
FakeBat,2023-09-20 1:20,96c4b76ad445db36e273d4bfa23b3e9cb1a30db836d0b0c940d6f8c41b9d81c5,SSL.com Code Signing Intermediate CA RSA R1,43098196E3855161C52769A0FEEFDBAC,16AFD0940C8FC1A3E0367CAFDFDEADE273AF46D4,2023-09-18 9:45,2024-09-17 9:45
D3F@ckLoader,2024-06-12 16:55,d42d30f58b5b3443212310c7fdebc2f611d5cecc6c1f924d7c948fb1b1c819ea,SSL.com Code Signing Intermediate CA RSA R1,584C7B537ABF0DD673CC35C9CF040E91,FC925E894C131D85BEA5EABA92C3460D6CD54935,2024-04-03 5:23,2025-04-03 5:23
D3F@ckLoader,2024-07-17 8:27,9e503796d957d0f00e1d4102a4b7690f679219fb609de4b3343612bb939b1c24,SSL.com Code Signing Intermediate CA RSA R1,46D8111B3080ACFE06AB32EBB3572A44,4D4299F14DC4EE5B58DFE20A5F73F467185A0403,2024-04-25 5:43,2025-04-25 5:43
D3F@ckLoader,2024-07-27 14:23,69184f6861718a2d47ca10f0e7b0b9790f46c2bdc50c94ee5050dc5bebfb380f,SSL.com EV Code Signing Intermediate CA RSA R3,3724A8692FD4C9C2ABE250C83FE61A0D,905127E4799A152D516273EE79A58DB9CCAAEC87,2024-07-16 12:17,2025-07-16 12:17
D3F@ckLoader,2024-07-24 18:35,0a27e7cbb5ed1aa3e517d4d1d3fa1974409cb3379707853cfa58be4181e24827,SSL.com EV Code Signing Intermediate CA RSA R3,2C82D1E68B3333CAE38B05E128522A37,F0BB5D277B6396D23F53813F3D3EF127CD7B3BB9,2024-07-19 12:53,2025-07-19 12:53
D3F@ckLoader,2024-10-01 1:04,ee4012f2a0dfd5a557b244c850b01484f52cda93aaed423398b2ef859d3b907d,SSL.com EV Code Signing Intermediate CA RSA R3,60FAC7DEA1D94581674A68276485FCC5,A0958D50807E1F6EC11A45A6A0332D9A12E15A25,2024-05-29 16:05,2025-05-29 16:05
D3F@ckLoader,2024-09-17 1:06,c6bb166294257e53d0d4b9ef6fe362c8cbacef5ec2bd26f98c6d7043284dec73,SSL.com EV Code Signing Intermediate CA RSA R3,1595F609B85F702108D66F78373A8C1F,3B9A5962CD3A79E3801C47D1F55785FA34DF473A,2024-09-10 13:31,2025-09-10 13:31
D3F@ckLoader,2024-09-12 11:46,e4799b54d657d4d9c64d49bc936772cdcca6329e05be972d3b1ec6ad08d8f4ea,SSL.com EV Code Signing Intermediate CA RSA R3,7A562978D709B11CAC4D6FCBA14954DB,E019D7719F55161534BB0C37DFFEFF1EF564AC31,2024-09-10 13:15,2025-09-10 13:15
D3F@ckLoader,2024-02-14 21:38,47470a874bcccca211f495e49db5b726f200ebd80fea3fc18b0ae7b059452fb6,GlobalSign GCC R45 EV CodeSigning CA 2020,496D920DA43B2EBA710E135F,886B9AF7AFAB9006FA8D14ACB69431372273B11F,2024-01-23 14:14,2025-01-23 14:14
D3F@ckLoader,2024-04-10 18:42,0f4262fcff68c06c8d0be7184263135d1dce951b52af8b6010e0dd18fe7f4937,SSL.com EV Code Signing Intermediate CA RSA R3,5FC048331F8E9572BDA7ABBF8F0CAB0B,26CF92F790EC122CF6B38887CFDF080A923377F3,2024-03-14 19:51,2025-03-14 19:51
D3F@ckLoader,2024-04-16 7:19,964d609b0fcf5ade742e9e6fe504bdfbe131b84f3cbab5ed59e977bd4036f405,SSL.com EV Code Signing Intermediate CA RSA R3,0FF89952DE8FDAF149D86308829F12EE,FC4535994E75B0DC4820C8EB258298986FBD8945,2024-04-12 14:38,2025-04-12 14:38
D3F@ckLoader,2024-05-10 12:43,e257cf8c1fc5332bf81f85408123762457a698709f745da15607dc594742019f,SSL.com EV Code Signing Intermediate CA RSA R3,6DE3B9456FB0428164F6AA5264E8C24D,CE30FAED4BB6BA0440970E7F3F341EAE3DA98806,2024-04-15 15:05,2025-04-15 15:05
D3F@ckLoader,2024-09-02 14:48,398b47cfbdba5e8512998a2823d6ab493b3b0ed0cec0c583d0907b9f4e86febb,SSL.com EV Code Signing Intermediate CA RSA R3,71F122B17613E367D58FFCD08DEA6AF4,320ECD6F82F874CDC0CDD2EAEF8164298E9943F9,2024-08-20 12:13,2025-08-20 12:13
D3F@ckLoader,2024-06-06 10:30,277a9093786d4cb2dd267ea6e15eaeb22a568bdc72c4ea6d1aa9b355a190d812,SSL.com EV Code Signing Intermediate CA RSA R3,48095E8078225651A5346BE4226D5A74,8DBB4A47E95F34E8E685BD4B7664D61D0863B278,2024-05-03 12:00,2025-05-03 12:00
D3F@ckLoader,2024-08-27 6:15,30e554562e154d288bcd3eb43897507d58ac410ff47ed75b4edda651c033a64c,SSL.com EV Code Signing Intermediate CA RSA R3,6065907A370AC3B27ABA472CD9F7ED3D,E098218628CF43BB0A0B14ADFD827402B403D9A3,2024-08-21 12:11,2025-08-21 12:11
D3F@ckLoader,2024-06-09 10:17,9b85aaf4d8e2945d735235615611c7bc5215dcb1358565fa2f38c75375cb81b0,SSL.com EV Code Signing Intermediate CA RSA R3,3469F7DBCE7DB328DBB07BA35CDBA98A,BF238E703FDE9EBA42A6BE99974C53A47F587F8A,2024-03-29 20:13,2025-03-29 20:13
D3F@ckLoader,2024-06-13 6:03,7ef83d9bbc288d5140ba999cbb7f65c7c2b25c0120bc7a7a2f0fa93bf8f86b97,SSL.com EV Code Signing Intermediate CA RSA R3,12697443E6FE59C5E187059F7161B615,65DBAEEF00FC82E957E01D7B37502C0B73EADE31,2024-04-12 14:44,2025-04-12 14:44
D3F@ckLoader,2024-06-13 11:06,d04530a24016d143e32bedca60b7d2b6a6ea41acd2b7e7edb29c2221cf166553,SSL.com EV Code Signing Intermediate CA RSA R3,4DEBD035CAFE5E73D5C7E0960D450AFD,DCA5A873EEE4F19E6884A304D295E969F8EBE5E4,2024-05-30 12:02,2025-05-30 12:02
D3F@ckLoader,2024-06-26 17:18,125b397a627f37c70e2cf2461c6a6583a975ba78617995751cacb32525a3b875,Certum Extended Validation Code Signing 2021 CA,3A8AE46D9DE62F166EB621649B6A6E2E,32A6FB73AE60BDC0287701BD75DC26881F8E2036,2024-06-19 5:53,2025-06-19 5:53
D3F@ckLoader,2024-07-09 18:17,3a157e439b3c4601463022f2165358ebfc9f80dd2d33c9a6afc5467c3f858567,GlobalSign GCC R45 EV CodeSigning CA 2020,6EF9C1E8363D7C4C98C274C1,67F7B364DB53E7B45EF28E9AD16FA16D7625EFF1,2024-06-14 6:49,2025-06-15 6:49
D3F@ckLoader,2024-08-06 0:58,0b5352660dd555c0ab55ab90020a36b1f34fe9debd312c4649606adab6c957cf,SSL.com EV Code Signing Intermediate CA RSA R3,7712F772C44D3360D635863E7414F34B,5662AD9653AF2C8A3FC00043F7EC150F2641C39D,2024-08-02 20:43,2025-08-01 12:37
D3F@ckLoader,2024-08-02 21:32,b25005b4361d67a5fb56513b50f59a1995856fbb8de32d5e5dec51f26744220d,SSL.com EV Code Signing Intermediate CA RSA R3,78A5FDD08C94E7D6BFF0A1B882E88087,F3BF3DACCD411EB9A1207EA86D8B208FB894D0E1,2024-07-25 13:50,2025-07-25 13:50